V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,T1,T2
1.14,3.00,4524.29,1330.70,6627.70,6.51,6.51,603.41,288.00,567.17,1.24,1.00,6.81,1.02,26.75,0.26,0.97,0.98
2.09,6.00,3136.13,1350.79,6767.25,23.44,23.44,525.48,288.00,561.75,1.21,1.00,6.57,1.02,17.94,0.16,0.97,0.98
3.14,9.00,8376.75,1386.74,7066.23,60.33,60.33,596.73,288.00,583.18,1.39,1.00,7.58,1.02,12.75,0.25,0.97,0.98
4.16,12.00,14721.13,1547.45,7746.86,113.76,113.76,652.12,288.00,609.44,1.66,1.00,9.03,1.02,17.74,0.35,0.97,0.98
5.14,15.00,21629.96,1924.31,8475.51,175.27,175.27,720.74,288.00,640.62,2.09,1.00,11.23,1.03,25.89,0.51,0.97,0.98
6.18,18.00,29761.25,2306.81,8805.83,245.95,245.95,789.67,288.00,671.42,2.51,1.00,13.39,1.03,35.22,0.70,0.97,0.98
7.15,21.00,38994.92,2678.06,9122.51,332.25,332.25,841.14,288.00,693.64,2.98,1.00,15.75,1.04,45.17,0.89,0.97,0.98
8.21,24.00,50992.59,3087.40,9306.31,437.97,437.97,938.76,288.00,735.36,3.59,1.00,18.70,1.04,61.67,1.22,0.97,0.98
9.30,27.00,72759.28,3560.38,9754.74,644.76,644.76,1092.67,288.00,781.83,4.52,1.00,22.94,1.05,90.99,1.80,0.97,0.98
1.14,3.00,2462.41,1325.31,6624.10,6.20,6.20,543.22,288.00,558.26,1.18,1.00,6.42,1.02,26.65,0.19,0.97,0.98
2.09,6.00,3140.46,1351.04,6769.95,23.49,23.49,524.79,288.00,561.67,1.21,1.00,6.57,1.02,17.62,0.16,0.97,0.98
3.14,9.00,8376.87,1386.75,7068.78,60.32,60.32,595.91,288.00,583.03,1.39,1.00,7.58,1.02,12.71,0.25,0.97,0.98
4.16,12.00,14721.18,1547.45,7748.83,113.77,113.77,651.22,288.00,609.28,1.66,1.00,9.02,1.02,17.70,0.35,0.97,0.98
5.14,15.00,21630.18,1924.31,8476.41,175.28,175.28,719.75,288.00,640.44,2.09,1.00,11.22,1.03,25.84,0.51,0.97,0.98
6.18,18.00,29761.74,2306.83,8806.87,245.91,245.91,788.54,288.00,671.20,2.51,1.00,13.38,1.03,35.15,0.70,0.97,0.98
7.15,21.00,38994.37,2678.06,9123.02,332.34,332.34,840.09,288.00,693.47,2.98,1.00,15.73,1.04,45.08,0.89,0.97,0.98
8.21,24.00,50993.50,3087.44,9306.70,438.10,438.10,937.70,288.00,735.19,3.59,1.00,18.68,1.04,61.57,1.22,0.97,0.98
9.30,27.00,72760.78,3560.38,9755.61,644.74,644.74,1091.76,288.00,781.68,4.52,1.00,22.91,1.05,90.88,1.80,0.97,0.98
1.14,3.00,1265.17,1332.20,6629.20,6.56,6.56,500.15,288.00,552.08,1.13,1.00,6.16,1.02,20.46,0.14,0.97,0.98
2.09,6.00,3055.82,1352.68,6773.44,23.78,23.78,520.79,288.00,561.12,1.20,1.00,6.55,1.02,16.64,0.16,0.97,0.98
3.14,9.00,8376.97,1386.75,7071.33,60.33,60.33,595.09,288.00,582.88,1.39,1.00,7.57,1.02,12.68,0.25,0.97,0.98
4.16,12.00,14721.31,1547.46,7750.80,113.76,113.76,650.33,288.00,609.11,1.66,1.00,9.01,1.02,17.65,0.35,0.97,0.98
5.14,15.00,21630.16,1924.31,8477.31,175.24,175.24,718.76,288.00,640.26,2.08,1.00,11.20,1.03,25.78,0.51,0.97,0.98
6.18,18.00,29762.47,2306.86,8807.93,245.97,245.97,787.42,288.00,670.97,2.51,1.00,13.36,1.03,35.07,0.69,0.97,0.98
7.15,21.00,38993.83,2678.06,9123.53,332.25,332.25,839.04,288.00,693.30,2.98,1.00,15.71,1.04,45.00,0.89,0.97,0.98
8.21,24.00,50994.17,3087.47,9307.08,437.97,437.97,936.65,288.00,735.02,3.59,1.00,18.66,1.04,61.47,1.22,0.97,0.98
9.30,27.00,72762.18,3560.38,9756.48,644.83,644.83,1090.86,288.00,781.52,4.52,1.00,22.89,1.05,90.78,1.80,0.97,0.98
1.14,3.00,696.64,1349.55,6642.00,7.51,7.51,470.29,288.00,548.67,1.11,1.00,6.03,1.02,9.67,0.10,0.97,0.98
2.09,6.00,2867.41,1357.41,6778.97,24.63,24.63,512.11,288.00,560.12,1.20,1.00,6.51,1.02,13.81,0.15,0.97,0.98
3.14,9.00,8377.10,1386.75,7073.88,60.33,60.33,594.27,288.00,582.74,1.39,1.00,7.56,1.02,12.64,0.25,0.97,0.98
4.16,12.00,14721.22,1547.46,7752.76,113.77,113.77,649.44,288.00,608.95,1.66,1.00,9.00,1.02,17.61,0.35,0.97,0.98
5.14,15.00,21630.64,1924.31,8478.22,175.28,175.28,717.78,288.00,640.07,2.08,1.00,11.19,1.03,25.72,0.51,0.97,0.98
6.18,18.00,29763.51,2306.90,8808.99,245.94,245.94,786.30,288.00,670.75,2.51,1.00,13.35,1.03,35.00,0.69,0.97,0.98
7.15,21.00,38993.30,2678.06,9124.04,332.25,332.25,838.00,288.00,693.12,2.98,1.00,15.69,1.04,44.92,0.89,0.97,0.98
8.21,24.00,50994.42,3087.49,9307.47,438.05,438.05,935.59,288.00,734.85,3.59,1.00,18.64,1.04,61.37,1.22,0.97,0.98
9.30,27.00,72762.42,3560.39,9757.32,644.77,644.77,1089.96,288.00,781.37,4.52,1.00,22.86,1.05,90.67,1.80,0.97,0.98
1.14,3.00,1062.44,1376.12,6662.37,9.02,9.02,474.98,288.00,550.70,1.13,1.00,6.11,1.02,1.22,0.09,0.97,0.98
2.09,6.00,2885.67,1357.10,6781.27,24.57,24.57,512.13,288.00,560.05,1.20,1.00,6.50,1.02,14.12,0.15,0.97,0.98
3.14,9.00,8377.18,1386.75,7076.42,60.34,60.34,593.46,288.00,582.59,1.39,1.00,7.55,1.02,12.61,0.25,0.97,0.98
4.16,12.00,14721.44,1547.46,7754.74,113.77,113.77,648.55,288.00,608.79,1.66,1.00,8.99,1.02,17.57,0.35,0.97,0.98
5.14,15.00,21630.80,1924.31,8479.12,175.26,175.26,716.80,288.00,639.89,2.08,1.00,11.18,1.03,25.67,0.51,0.97,0.98
6.18,18.00,29764.94,2306.96,8810.08,245.97,245.97,785.18,288.00,670.53,2.51,1.00,13.33,1.03,34.93,0.69,0.97,0.98
7.15,21.00,38992.86,2678.06,9124.55,332.21,332.21,836.96,288.00,692.95,2.98,1.00,15.68,1.04,44.84,0.89,0.97,0.98
8.21,24.00,50994.31,3087.49,9307.88,438.02,438.02,934.52,288.00,734.68,3.59,1.00,18.61,1.04,61.27,1.21,0.97,0.98
9.30,27.00,72763.06,3560.40,9758.17,644.98,644.98,1089.06,288.00,781.22,4.52,1.00,22.83,1.05,90.56,1.79,0.97,0.98
1.14,3.00,2341.72,1407.05,6686.77,10.87,10.87,512.10,288.00,557.81,1.18,1.00,6.40,1.02,0.00,0.14,0.97,0.98
2.09,6.00,2849.68,1359.17,6785.15,24.94,24.94,509.39,288.00,559.77,1.20,1.00,6.49,1.02,12.73,0.14,0.97,0.98
3.14,9.00,8377.30,1386.75,7078.98,60.33,60.33,592.65,288.00,582.44,1.39,1.00,7.55,1.02,12.58,0.25,0.97,0.98
4.16,12.00,14721.52,1547.46,7756.72,113.77,113.77,647.67,288.00,608.63,1.66,1.00,8.98,1.02,17.53,0.35,0.97,0.98
5.14,15.00,21630.97,1924.32,8480.02,175.28,175.28,715.82,288.00,639.71,2.08,1.00,11.17,1.03,25.61,0.51,0.97,0.98
6.18,18.00,29766.99,2307.03,8811.18,245.96,245.96,784.07,288.00,670.31,2.51,1.00,13.32,1.03,34.86,0.69,0.97,0.98
7.15,21.00,38992.35,2678.07,9125.05,332.28,332.28,835.92,288.00,692.78,2.97,1.00,15.66,1.04,44.76,0.89,0.97,0.98
8.21,24.00,50994.37,3087.50,9308.29,438.10,438.10,933.44,288.00,734.52,3.59,1.00,18.59,1.04,61.17,1.21,0.97,0.98
9.30,27.00,72765.24,3560.39,9759.03,644.74,644.74,1088.17,288.00,781.06,4.52,1.00,22.80,1.05,90.46,1.79,0.97,0.98
1.14,3.00,4269.98,1413.49,6695.07,11.29,11.29,569.85,288.00,566.68,1.25,1.00,6.79,1.02,0.00,0.20,0.97,0.98
2.09,6.00,2824.93,1361.41,6789.05,25.35,25.35,506.90,288.00,559.52,1.20,1.00,6.48,1.02,11.41,0.14,0.97,0.98
3.14,9.00,8377.36,1386.75,7081.52,60.33,60.33,591.83,288.00,582.30,1.39,1.00,7.54,1.02,12.54,0.25,0.97,0.98
4.16,12.00,14721.65,1547.46,7758.70,113.77,113.77,646.78,288.00,608.47,1.66,1.00,8.97,1.02,17.48,0.35,0.97,0.98
5.14,15.00,21631.06,1924.32,8480.92,175.25,175.25,714.84,288.00,639.53,2.08,1.00,11.16,1.03,25.55,0.51,0.97,0.98
6.18,18.00,29769.93,2307.12,8812.32,245.98,245.98,782.97,288.00,670.09,2.51,1.00,13.31,1.03,34.79,0.69,0.97,0.98
7.15,21.00,38991.82,2678.07,9125.56,332.28,332.28,834.88,288.00,692.60,2.97,1.00,15.64,1.04,44.67,0.88,0.97,0.98
8.21,24.00,50994.54,3087.51,9308.70,438.05,438.05,932.37,288.00,734.35,3.59,1.00,18.57,1.04,61.07,1.21,0.97,0.98
9.30,27.00,72765.35,3560.40,9759.86,644.75,644.75,1087.27,288.00,780.91,4.52,1.00,22.78,1.05,90.35,1.79,0.97,0.98
1.14,3.00,6939.00,1378.31,6676.46,9.21,9.21,648.88,288.00,575.93,1.33,1.00,7.22,1.02,2.84,0.30,0.97,0.98
2.09,6.00,2825.43,1363.00,6792.61,25.64,25.64,505.52,288.00,559.40,1.20,1.00,6.48,1.02,10.51,0.14,0.97,0.98
3.14,9.00,8377.45,1386.75,7084.07,60.34,60.34,591.03,288.00,582.15,1.39,1.00,7.53,1.02,12.51,0.25,0.97,0.98
4.16,12.00,14721.62,1547.46,7760.67,113.75,113.75,645.90,288.00,608.30,1.66,1.00,8.96,1.02,17.44,0.35,0.97,0.98
5.14,15.00,21631.32,1924.32,8481.83,175.28,175.28,713.87,288.00,639.35,2.08,1.00,11.15,1.03,25.50,0.51,0.97,0.98
6.18,18.00,29774.52,2307.25,8813.52,246.07,246.07,781.88,288.00,669.88,2.51,1.00,13.30,1.03,34.72,0.69,0.97,0.98
7.15,21.00,38991.40,2678.07,9126.07,332.28,332.28,833.85,288.00,692.43,2.97,1.00,15.62,1.04,44.59,0.88,0.97,0.98
8.21,24.00,50994.50,3087.52,9309.11,438.06,438.06,931.31,288.00,734.18,3.59,1.00,18.55,1.04,60.97,1.21,0.97,0.98
9.30,27.00,72766.57,3560.40,9760.70,645.04,645.04,1086.39,288.00,780.76,4.51,1.00,22.75,1.05,90.24,1.79,0.97,0.98
1.14,3.00,6138.93,1329.73,6647.23,6.44,6.44,640.77,288.00,572.03,1.29,1.00,7.03,1.02,27.49,0.31,0.97,0.98
2.09,6.00,2826.37,1364.53,6796.16,25.92,25.92,504.15,288.00,559.28,1.20,1.00,6.47,1.02,9.94,0.13,0.97,0.98
3.14,9.00,8377.56,1386.75,7086.63,60.34,60.34,590.22,288.00,582.00,1.39,1.00,7.52,1.02,12.48,0.25,0.97,0.98
4.16,12.00,14721.74,1547.46,7762.66,113.76,113.76,645.02,288.00,608.14,1.66,1.00,8.95,1.02,17.40,0.34,0.97,0.98
5.14,15.00,21631.46,1924.32,8482.73,175.29,175.29,712.89,288.00,639.16,2.08,1.00,11.14,1.03,25.44,0.50,0.97,0.98
6.18,18.00,29783.48,2307.46,8814.88,246.16,246.16,780.81,288.00,669.68,2.51,1.00,13.28,1.03,34.65,0.69,0.97,0.98
7.15,21.00,38990.90,2678.07,9126.57,332.22,332.22,832.82,288.00,692.26,2.97,1.00,15.61,1.04,44.51,0.88,0.97,0.98
8.21,24.00,50994.61,3087.52,9309.53,437.96,437.96,930.25,288.00,734.02,3.58,1.00,18.53,1.04,60.87,1.21,0.97,0.98
9.30,27.00,72767.56,3560.40,9761.53,644.96,644.96,1085.50,288.00,780.61,4.51,1.00,22.72,1.05,90.14,1.78,0.97,0.98
1.14,3.00,4201.77,1315.14,6638.57,5.64,5.64,591.55,288.00,564.48,1.23,1.00,6.69,1.02,32.23,0.25,0.97,0.98
2.09,6.00,2845.31,1367.26,6800.44,26.41,26.41,502.80,288.00,559.27,1.20,1.00,6.47,1.02,8.43,0.13,0.97,0.98
3.14,9.00,8377.67,1386.75,7089.18,60.33,60.33,589.41,288.00,581.85,1.39,1.00,7.52,1.02,12.44,0.25,0.97,0.98
4.16,12.00,14721.79,1547.46,7764.64,113.76,113.76,644.14,288.00,607.98,1.66,1.00,8.94,1.02,17.36,0.34,0.97,0.98
5.14,15.00,21631.74,1924.32,8483.64,175.28,175.28,711.93,288.00,638.98,2.08,1.00,11.12,1.03,25.38,0.50,0.97,0.98
6.18,18.00,29789.47,2307.52,8815.97,246.19,246.19,779.78,288.00,669.47,2.51,1.00,13.27,1.03,34.59,0.69,0.97,0.98
7.15,21.00,38990.48,2678.07,9127.08,332.26,332.26,831.79,288.00,692.09,2.97,1.00,15.59,1.04,44.43,0.88,0.97,0.98
8.21,24.00,50994.69,3087.53,9309.95,438.00,438.00,929.20,288.00,733.86,3.58,1.00,18.51,1.04,60.78,1.20,0.97,0.98
9.30,27.00,72768.81,3560.41,9762.37,645.07,645.07,1084.62,288.00,780.46,4.51,1.00,22.70,1.05,90.03,1.78,0.97,0.98
1.14,3.00,1486.60,1318.13,6639.67,5.79,5.79,508.01,288.00,552.12,1.14,1.00,6.17,1.02,26.29,0.15,0.97,0.99
2.09,6.00,2873.21,1368.50,6803.74,26.65,26.65,502.45,288.00,559.24,1.20,1.00,6.47,1.02,7.35,0.13,0.97,0.99
3.14,9.00,8377.77,1386.75,7091.73,60.34,60.34,588.61,288.00,581.71,1.39,1.00,7.51,1.02,12.41,0.25,0.97,0.99
4.16,12.00,14721.89,1547.46,7766.62,113.78,113.78,643.27,288.00,607.82,1.66,1.00,8.94,1.02,17.31,0.34,0.97,0.99
5.14,15.00,21631.80,1924.32,8484.54,175.27,175.27,710.96,288.00,638.80,2.08,1.00,11.11,1.03,25.33,0.50,0.97,0.99
6.18,18.00,29789.88,2307.50,8817.00,246.22,246.22,778.68,288.00,669.25,2.51,1.00,13.26,1.03,34.52,0.68,0.97,0.99
7.15,21.00,38990.03,2678.07,9127.59,332.30,332.30,830.77,288.00,691.92,2.97,1.00,15.57,1.04,44.35,0.88,0.97,0.99
8.21,24.00,50994.70,3087.53,9310.37,437.97,437.97,928.14,288.00,733.69,3.58,1.00,18.49,1.04,60.68,1.20,0.97,0.99
9.30,27.00,72769.68,3560.41,9763.19,644.79,644.79,1083.73,288.00,780.32,4.51,1.00,22.67,1.05,89.92,1.78,0.97,0.99
1.14,3.00,397.46,1346.88,6659.18,7.34,7.34,454.60,288.00,545.69,1.10,1.00,5.91,1.02,8.54,0.08,0.97,0.99
2.09,6.00,2987.99,1373.28,6809.37,27.52,27.52,503.18,288.00,559.70,1.21,1.00,6.49,1.02,4.94,0.13,0.97,0.99
3.14,9.00,8377.87,1386.75,7094.28,60.34,60.34,587.81,288.00,581.56,1.39,1.00,7.50,1.02,12.37,0.25,0.97,0.99
4.16,12.00,14722.01,1547.46,7768.61,113.77,113.77,642.40,288.00,607.66,1.66,1.00,8.93,1.02,17.27,0.34,0.97,0.99
5.14,15.00,21632.06,1924.32,8485.44,175.26,175.26,709.99,288.00,638.62,2.08,1.00,11.10,1.03,25.27,0.50,0.97,0.99
6.18,18.00,29790.19,2307.49,8818.03,246.19,246.19,777.59,288.00,669.03,2.51,1.00,13.24,1.03,34.44,0.68,0.97,0.99
7.15,21.00,38989.60,2678.08,9128.09,332.29,332.29,829.75,288.00,691.75,2.97,1.00,15.56,1.04,44.27,0.88,0.97,0.99
8.21,24.00,50994.63,3087.53,9310.79,437.99,437.99,927.10,288.00,733.53,3.58,1.00,18.47,1.04,60.58,1.20,0.97,0.99
9.30,27.00,72770.19,3560.41,9764.01,645.11,645.11,1082.86,288.00,780.17,4.51,1.00,22.64,1.05,89.82,1.78,0.97,0.99
1.14,3.00,890.88,1372.67,6679.36,8.81,8.81,464.13,288.00,548.56,1.12,1.00,6.03,1.02,0.00,0.08,0.97,0.99
2.09,6.00,3017.01,1374.04,6812.39,27.67,27.67,503.02,288.00,559.74,1.21,1.00,6.49,1.02,4.81,0.13,0.97,0.99
3.14,9.00,8378.00,1386.75,7096.84,60.35,60.35,587.00,288.00,581.42,1.39,1.00,7.50,1.02,12.34,0.24,0.97,0.99
4.16,12.00,14722.06,1547.46,7770.60,113.78,113.78,641.53,288.00,607.50,1.66,1.00,8.92,1.02,17.23,0.34,0.97,0.99
5.14,15.00,21632.13,1924.33,8486.35,175.28,175.28,709.03,288.00,638.44,2.08,1.00,11.09,1.03,25.22,0.50,0.97,0.99
6.18,18.00,29790.52,2307.47,8819.05,246.23,246.23,776.49,288.00,668.81,2.51,1.00,13.23,1.03,34.37,0.68,0.97,0.99
7.15,21.00,38989.13,2678.08,9128.60,332.17,332.17,828.73,288.00,691.58,2.97,1.00,15.54,1.04,44.19,0.88,0.97,0.99
8.21,24.00,50994.55,3087.53,9311.20,438.11,438.11,926.05,288.00,733.37,3.58,1.00,18.45,1.04,60.48,1.20,0.97,0.99
9.30,27.00,72771.49,3560.41,9764.84,644.87,644.87,1081.99,288.00,780.03,4.51,1.00,22.61,1.05,89.71,1.78,0.97,0.99
1.14,3.00,1550.85,1393.84,6696.61,10.05,10.05,482.82,288.00,552.37,1.15,1.00,6.18,1.02,0.00,0.11,0.97,0.99
2.09,6.00,3018.20,1374.02,6814.92,27.67,27.67,502.37,288.00,559.59,1.21,1.00,6.48,1.02,4.76,0.13,0.97,0.99
3.14,9.00,8378.01,1386.75,7099.39,60.34,60.34,586.20,288.00,581.27,1.39,1.00,7.49,1.02,12.31,0.24,0.97,0.99
4.16,12.00,14722.14,1547.46,7772.59,113.77,113.77,640.66,288.00,607.34,1.66,1.00,8.91,1.02,17.19,0.34,0.97,0.99
5.14,15.00,21632.30,1924.33,8487.25,175.27,175.27,708.07,288.00,638.26,2.08,1.00,11.08,1.03,25.16,0.50,0.97,0.99
6.18,18.00,29790.91,2307.46,8820.08,246.19,246.19,775.40,288.00,668.59,2.51,1.00,13.22,1.03,34.30,0.68,0.97,0.99
7.15,21.00,38988.75,2678.08,9129.10,332.29,332.29,827.71,288.00,691.41,2.97,1.00,15.52,1.04,44.11,0.87,0.97,0.99
8.21,24.00,50994.49,3087.52,9311.62,437.95,437.95,925.01,288.00,733.21,3.58,1.00,18.43,1.04,60.39,1.20,0.97,0.99
9.30,27.00,72772.08,3560.41,9765.67,645.06,645.06,1081.12,288.00,779.88,4.51,1.00,22.59,1.05,89.61,1.77,0.97,0.99
1.14,3.00,2341.73,1408.98,6710.07,10.98,10.98,505.87,288.00,556.52,1.18,1.00,6.35,1.02,0.00,0.13,0.97,0.99
2.09,6.00,3207.63,1378.29,6820.22,28.46,28.46,505.98,288.00,560.39,1.21,1.00,6.52,1.02,2.51,0.13,0.97,0.99
3.14,9.00,8378.19,1386.75,7101.95,60.35,60.35,585.41,288.00,581.12,1.39,1.00,7.48,1.02,12.27,0.24,0.97,0.99
4.16,12.00,14721.01,1547.47,7774.48,113.74,113.74,639.78,288.00,607.18,1.66,1.00,8.90,1.02,17.15,0.34,0.97,0.99
5.14,15.00,21632.63,1924.33,8488.16,175.26,175.26,707.12,288.00,638.09,2.08,1.00,11.07,1.03,25.11,0.50,0.97,0.99
6.18,18.00,29791.18,2307.44,8821.10,246.20,246.20,774.31,288.00,668.37,2.51,1.00,13.20,1.03,34.23,0.68,0.97,0.99
7.15,21.00,38988.25,2678.08,9129.61,332.16,332.16,826.70,288.00,691.24,2.97,1.00,15.51,1.04,44.03,0.87,0.97,0.99
8.21,24.00,50994.43,3087.52,9312.03,437.96,437.96,923.97,288.00,733.05,3.58,1.00,18.41,1.04,60.29,1.19,0.97,0.99
9.30,27.00,72773.00,3560.41,9766.49,644.79,644.79,1080.25,288.00,779.74,4.51,1.00,22.56,1.05,89.50,1.77,0.97,0.99
1.14,3.00,2882.72,1414.06,6716.38,11.29,11.29,521.52,288.00,559.11,1.20,1.00,6.46,1.02,0.00,0.15,0.97,0.99
2.09,6.00,3173.77,1377.50,6822.20,28.31,28.31,504.41,288.00,560.07,1.21,1.00,6.51,1.02,2.91,0.13,0.97,0.99
3.14,9.00,8378.27,1386.75,7104.51,60.35,60.35,584.61,288.00,580.98,1.39,1.00,7.47,1.02,12.24,0.24,0.97,0.99
4.16,12.00,14722.38,1547.46,7776.58,113.77,113.77,638.93,288.00,607.03,1.66,1.00,8.89,1.02,17.10,0.34,0.97,0.99
5.14,15.00,21632.74,1924.33,8489.06,175.26,175.26,706.16,288.00,637.91,2.08,1.00,11.06,1.03,25.05,0.50,0.97,0.99
6.18,18.00,29791.57,2307.42,8822.13,246.25,246.25,773.23,288.00,668.15,2.50,1.00,13.19,1.03,34.16,0.68,0.97,0.99
7.15,21.00,38987.91,2678.08,9130.11,332.22,332.22,825.69,288.00,691.07,2.97,1.00,15.49,1.04,43.95,0.87,0.97,0.99
8.21,24.00,50994.38,3087.52,9312.44,437.95,437.95,922.93,288.00,732.89,3.58,1.00,18.39,1.04,60.19,1.19,0.97,0.99
9.30,27.00,72773.33,3560.42,9767.30,645.12,645.12,1079.39,288.00,779.60,4.50,1.00,22.53,1.05,89.40,1.77,0.97,0.99
1.14,3.00,3842.06,1415.76,6720.73,11.41,11.41,549.29,288.00,563.50,1.24,1.00,6.65,1.02,0.00,0.18,0.97,0.99
2.09,6.00,3320.91,1380.38,6826.57,28.85,28.85,507.43,288.00,560.52,1.22,1.00,6.52,1.02,1.23,0.13,0.97,0.99
3.14,9.00,8378.39,1386.75,7107.07,60.34,60.34,583.82,288.00,580.83,1.39,1.00,7.47,1.02,12.21,0.24,0.97,0.99
4.16,12.00,14722.40,1547.46,7778.57,113.77,113.77,638.06,288.00,606.87,1.66,1.00,8.88,1.02,17.06,0.34,0.97,0.99
5.14,15.00,21632.91,1924.33,8489.97,175.29,175.29,705.21,288.00,637.73,2.08,1.00,11.05,1.03,25.00,0.50,0.97,0.99
6.18,18.00,29791.87,2307.41,8823.15,246.25,246.25,772.15,288.00,667.93,2.50,1.00,13.18,1.03,34.09,0.68,0.97,0.99
7.15,21.00,38987.49,2678.08,9130.61,332.23,332.23,824.68,288.00,690.91,2.97,1.00,15.47,1.04,43.87,0.87,0.97,0.99
8.21,24.00,50994.34,3087.52,9312.85,438.08,438.08,921.90,288.00,732.73,3.58,1.00,18.37,1.04,60.10,1.19,0.97,0.99
9.30,27.00,72773.10,3560.43,9768.10,644.86,644.86,1078.52,288.00,779.45,4.50,1.00,22.51,1.05,89.29,1.77,0.97,0.99
1.14,3.00,4673.59,1412.46,6721.62,11.21,11.21,573.08,288.00,566.67,1.27,1.00,6.79,1.02,0.00,0.21,0.97,0.99
2.09,6.00,3311.61,1380.10,6828.89,28.80,28.80,506.52,288.00,560.32,1.22,1.00,6.52,1.02,1.27,0.13,0.97,0.99
3.14,9.00,8378.54,1386.75,7109.63,60.35,60.35,583.03,288.00,580.69,1.39,1.00,7.46,1.02,12.17,0.24,0.97,0.99
4.16,12.00,14722.46,1547.46,7780.57,113.78,113.78,637.20,288.00,606.71,1.66,1.00,8.87,1.02,17.02,0.34,0.97,0.99
5.14,15.00,21633.06,1924.33,8490.87,175.31,175.31,704.26,288.00,637.55,2.08,1.00,11.03,1.03,24.94,0.49,0.97,0.99
6.18,18.00,29792.10,2307.39,8824.18,246.29,246.29,771.07,288.00,667.71,2.50,1.00,13.16,1.03,34.01,0.67,0.97,0.99
7.15,21.00,38987.07,2678.08,9131.12,332.21,332.21,823.67,288.00,690.74,2.97,1.00,15.46,1.04,43.79,0.87,0.97,0.99
8.21,24.00,50994.24,3087.52,9313.26,438.09,438.09,920.87,288.00,732.57,3.58,1.00,18.34,1.04,60.00,1.19,0.97,0.99
9.30,27.00,72775.00,3560.42,9768.92,644.81,644.81,1077.67,288.00,779.31,4.50,1.00,22.48,1.05,89.19,1.77,0.97,0.99
1.14,3.00,5218.30,1407.27,6721.08,10.91,10.91,587.53,288.00,568.75,1.28,1.00,6.88,1.02,0.00,0.23,0.97,0.99
2.09,6.00,3477.72,1382.75,6833.16,29.30,29.30,510.22,288.00,561.05,1.22,1.00,6.55,1.02,0.19,0.14,0.97,0.99
3.14,9.00,8378.65,1386.75,7112.19,60.36,60.36,582.23,288.00,580.54,1.39,1.00,7.45,1.02,12.14,0.24,0.97,0.99
4.16,12.00,14722.55,1547.47,7782.57,113.78,113.78,636.35,288.00,606.55,1.66,1.00,8.86,1.02,16.98,0.34,0.97,0.99
5.14,15.00,21633.19,1924.34,8491.78,175.28,175.28,703.31,288.00,637.37,2.08,1.00,11.02,1.03,24.89,0.49,0.97,0.99
6.18,18.00,29792.49,2307.38,8825.21,246.26,246.26,770.00,288.00,667.49,2.50,1.00,13.15,1.03,33.94,0.67,0.97,0.99
7.15,21.00,38986.64,2678.08,9131.62,332.20,332.20,822.67,288.00,690.57,2.97,1.00,15.44,1.04,43.71,0.87,0.97,0.99
8.21,24.00,50994.21,3087.52,9313.68,438.11,438.11,919.84,288.00,732.41,3.58,1.00,18.32,1.04,59.91,1.19,0.97,0.99
9.30,27.00,72775.88,3560.42,9769.73,644.97,644.97,1076.82,288.00,779.17,4.50,1.00,22.45,1.05,89.09,1.76,0.97,0.99
1.14,3.00,6425.84,1391.66,6714.33,9.98,9.98,620.57,288.00,572.68,1.32,1.00,7.07,1.02,0.00,0.27,0.97,0.99
2.09,6.00,3547.23,1383.73,6836.32,29.48,29.48,511.42,288.00,561.20,1.23,1.00,6.55,1.02,0.00,0.14,0.97,0.99
3.14,9.00,8378.71,1386.76,7114.74,60.35,60.35,581.45,288.00,580.39,1.39,1.00,7.45,1.02,12.11,0.24,0.97,0.99
4.16,12.00,14722.66,1547.47,7784.57,113.79,113.79,635.49,288.00,606.39,1.66,1.00,8.86,1.02,16.94,0.34,0.97,0.99
5.14,15.00,21633.28,1924.34,8492.68,175.28,175.28,702.37,288.00,637.20,2.08,1.00,11.01,1.03,24.83,0.49,0.97,0.99
6.18,18.00,29792.82,2307.37,8826.23,246.26,246.26,768.93,288.00,667.28,2.50,1.00,13.14,1.03,33.87,0.67,0.97,0.99
7.15,21.00,38986.28,2678.08,9132.12,332.18,332.18,821.67,288.00,690.41,2.97,1.00,15.42,1.04,43.63,0.86,0.97,0.99
8.21,24.00,50994.17,3087.51,9314.09,438.03,438.03,918.82,288.00,732.26,3.58,1.00,18.30,1.04,59.81,1.18,0.97,0.99
9.30,27.00,72776.25,3560.42,9770.52,644.97,644.97,1075.96,288.00,779.03,4.50,1.00,22.43,1.05,88.98,1.76,0.97,0.99
1.14,3.00,7247.28,1357.26,6695.54,7.98,7.98,650.99,288.00,574.63,1.33,1.00,7.16,1.02,13.91,0.32,0.97,1.00
2.09,6.00,3831.16,1387.37,6841.17,30.17,30.17,518.59,288.00,562.39,1.24,1.00,6.61,1.02,0.00,0.15,0.97,1.00
3.14,9.00,8378.88,1386.76,7117.31,60.36,60.36,580.66,288.00,580.25,1.39,1.00,7.44,1.02,12.07,0.24,0.97,1.00
4.16,12.00,14722.77,1547.47,7786.58,113.78,113.78,634.64,288.00,606.24,1.66,1.00,8.85,1.02,16.90,0.33,0.97,1.00
5.14,15.00,21633.44,1924.34,8493.59,175.28,175.28,701.43,288.00,637.02,2.08,1.00,11.00,1.03,24.78,0.49,0.97,1.00
